COMPTROLLER,MARKET
0xceafd4e9cacc070af99cce086c27aeda837f8bd4,0x918368a637f6906002660cd6c5d3642d6cb6321c
0xceafd4e9cacc070af99cce086c27aeda837f8bd4,0x7243058b2ec3245c9455ab8012afe8e47369369d
0xeed247ba513a8d6f78be9318399f5ed1a4808f8e,0x0a2f8b6223eb7de26c810932cca488a4936cf391
0xdcfd3017a59adbc4eff7492ba416a0e4170cedfb,0xd917d67f9dd5fa3a193f1e076c8c636867a3571b
0xd5b649c7d27c13a2b80425daee8cb6023015dc6b,0x7fd87581d0eae4744a8625bffe909ffb3af52163
0x5a240f1a8ae87acf6f85a991e4a1315655c4d2e6,0xb684492c6cfc38ff1a4098e69034bf524a651c78
0x1a1e390f83962d3f0b38edb6fcfad27866204090,0x18282702eab368f92e8debe241d9c14abfe4d73c
0xbadac56c9aca307079e8b8fc699987aac89813ee,0xd5794ea7b269db3a0ccb396774cc2d0936ffbd86
0xd5b649c7d27c13a2b80425daee8cb6023015dc6b,0x2fda3af71967add50380c7a35799ec3a41209bce
0xc9fe91c452fa3f9329e5f20c5555ecf60ec71d52,0x8a9733cf8f7b60de75adf64f6ff37fb651bffdcd
0x49ea2c991290ca13f57ae2b8ca98bc6140925db3,0x1b55b52e2d069673716716833c3b32caee4c9bf8
0x7cc391b17a4e76f0eb96b5caef22d184708fb3b8,0x0866886701f3854cab0167ae1939d480877923ac
0x1bd3699f5ad7b130aaca5db53bd233350a22ea74,0xef142872e5b7befe6dbc02255f99ab05587d179b
0xc7d021bd813f3b4bb801a4361fbcf3703ed61716,0xfd69b5ad5cfaef73f2c900a5af4dff1942f9a760
0x7170d38b90f4b0d097e0a24174ad74fa42d07b81,0xcb1346cabde763af950b602a2f18fcd27d96e4c2
0x1a1e390f83962d3f0b38edb6fcfad27866204090,0x6f2b722599ea8c26748f9b964bc9d385ac4af866
0x1813554dc1f68cf54f71449db298daf9ab75f4f3,0x2ffcf622f5e1b330c6a5f9002bd5292bf36fb3d8
0xd5b649c7d27c13a2b80425daee8cb6023015dc6b,0xba7dabf931a23c334b8f6be15eb1e9425330e6b3
0x2ecb555c6906ca787b1c394f621f90b1563d4af7,0x9b997ec804e61eae8a1ade5a90dbc36c0b2d67c0
0x487ef86eb04b842285961c3d22d6e57adfcd2226,0x8be97df03a5df093b55ec7b62f7068bf47d0272b
0x1d019f2d14bdb81bab7ba4ec7e20868e669c32b1,0xc6db34086f4a657df7d0c9d6910cd51f13e82d31
0xeed247ba513a8d6f78be9318399f5ed1a4808f8e,0x20a6768f6aabf66b787985ec6ce0ebea6d7ad497
0x0319c359c828d2cd9e52a853559d76f9958cd771,0x6a0fb1a78443bf65974f2c1fbbe6a7f383da3210
0x08b55c9d3ae64e31fd220e362c301497c1810dc9,0xb1694478bb45aa505b94421b417aa273eea93c9d
0x3ac1b23cc9cbca0adc29e468f1d675546b52ddf0,0x96c08ea3f5fc5a44edcd86d1d0b0401e58fe7eea
0x822d5fd8aca011e3704d39958c5615d3a1e716cc,0x3b23492e295fa88b8fd24f88bab84dec2903d11c
0x77209f850058dd22d4817be260e76199417ccc41,0xe865243ea705cd6424bef3e7e76e39e696f2d13c
0x56f060101ea2f3f9a7a897ceffc75556902c0a69,0x0a48a7b013b6b757963a44c1128c5c1b10281337
0x49ea2c991290ca13f57ae2b8ca98bc6140925db3,0x593b3ef799b219d80dd8f0556d1aa8bc362fe48c
0x0f390559f258eb8591c8e31cf0905e97cf36ace2,0x8e15a22853a0a60a0fbb0d875055a8e66cff0235
0xd5b649c7d27c13a2b80425daee8cb6023015dc6b,0x70faf3509dc8320faffb40666d717224b26af0db
0xcaaa8db56b5520bbfdb6d29d4d2fc5d0edc57300,0x565c9ebd5083ca4c631ecf632bdab005ba4bde08
0xb7425ead67182048f137dbf1ecc1de4c43c9951a,0xfd91866dcca1059f02a73b583d3fe50eb1fef43f
0xceafd4e9cacc070af99cce086c27aeda837f8bd4,0x1e62ae624324df3d6b20781f4910c63a1319c97f
0x1813554dc1f68cf54f71449db298daf9ab75f4f3,0x180cc44d243aee35f8fc3f74276b56542fbd5ffa
0xaf4f39941e0729bcd5051f09e99badbb3c8b16ca,0x694b9ecc16d1236fd57e2ea86687ff27a24ff5d4
0xdbfd8efe61d2874058e1c939d1d4092037bc7291,0xd9d4ec2f26d1836ecb6580d7affa7dc2bc871bfb
0x92a62f8c4750d7fbdf9ee1db268d18169235117b,0x01c7068ea92d3da2a1dad145c96c0f9398be93f2
0x3886a3b02ce2df807c050724e3013a88514d2310,0xda2644c858ccc0aa455ad926318791ab43bed3e8
0x49ea2c991290ca13f57ae2b8ca98bc6140925db3,0xe9d91a3e4a0a929e9a34510d44dfd335f39e17cb
0x1bd3699f5ad7b130aaca5db53bd233350a22ea74,0x04a4d73a9f3ac030679680565208f68bf8735f1f
0x29548758476e43ee0d3519ea239bd6ad03ce8ef6,0x333543547713d405a41e1397ddc6da0958fcc662
0x0319c359c828d2cd9e52a853559d76f9958cd771,0x8b97e02042c3eec536093ee9e1bf43c12cc5b060
0x69ef8ac8a7bb4a406eca3a5f9d023814d199a565,0xa12a0521005876ce7173b3e187fa560692d02536
0x7aff90aefb8c1bce17b0a55dda037699eef73c0b,0x45319a5c6a481db3d66e7f65b48af2da5be8b2f1
0x3ac1b23cc9cbca0adc29e468f1d675546b52ddf0,0xa89708630d8c23de5cea4dc95e9907da0eff3e8d
0xee661fd1ffb460a4562475f044d6d2c7f12b8d49,0x0a01dc3cd6f86824333751ce03ce0ed21933256a
0xdd6c5707dee472af3b53ab120d03d455e6cc95f9,0x742132b299aec1c553be2f41fd16a53bb4877186
0xf4f9b60f2e588e72205bd4e214e773549925b96a,0x0cfc7890bd167703fb4942ee7c6cfe2a98e544a5
0xb7425ead67182048f137dbf1ecc1de4c43c9951a,0xe187772778a41a1754ab25134d9b88c353fb187a
0x92a62f8c4750d7fbdf9ee1db268d18169235117b,0xf81263eb84dfa118261cb9377f2c46ca04689e6e
0x77c2fb05826770e92d402ec8f32a4e8ce9e26cd9,0x110bb412fa63ddbafccfdf4fa84b8402e26cb75e
0xd5b649c7d27c13a2b80425daee8cb6023015dc6b,0x3631de81f1098df530015a97b092bdfff7e93ea8
0x84a57414910fbfe9f5503bfca2f1e31b6ad0981a,0x7e5b8ad8a110ec52c8a923a7c4accb0259638b74
0x3646bf53c17ebbe4ce5e389cd3c73bc818ff7e46,0x4c1c9604e1b962e2601639480dcb0a5bb7385ea6
0x7cc391b17a4e76f0eb96b5caef22d184708fb3b8,0xb5e02d64eec8e2a957332a8e9a2086b822636f52
0xd5b649c7d27c13a2b80425daee8cb6023015dc6b,0x70d27974441845811b36e9be0d3f43eb60c814a3
0x4054264c574984071d3397eac800dd09f0bd1438,0x3263ab99da81b6e770d9778af06c25e28f472627
0xa84b0cf008f84620f620c2da40c5ef1df4c1f5d5,0xb2b169e64088f44ce77127929fc308307f499a2f
0x88e92b4a33b94956c4c327e334b2d3aafa3d45fe,0x217e06c2c8e354d07177536a2da221beae17f1e0
0x32978daa16153fcf5a6bfaadc9c7cb2fc51b68ab,0x516361d37892cdfd6b26f4366cca89d33e06dcb4
0xca47e7f7606666f30564e767c185e952b5e902f7,0x4aea5899d74c7e0370fd1325bdb469936c8e5cd0
0x49ea2c991290ca13f57ae2b8ca98bc6140925db3,0xd0af14cee85b6612c02f75f35e90fe1f8e0fb2fd
0xf67ef5e77b350a81dcba5430bc8be876eda8d591,0x55e5f6e48fd4715e1c05b9dafa5cfd0b387425ee
0x3646bf53c17ebbe4ce5e389cd3c73bc818ff7e46,0x5bfd397c75997dd8361ba92aff1d7773f1da68f9
0x7aff90aefb8c1bce17b0a55dda037699eef73c0b,0x1cacd66d5f91d57d601fd1b232fbce5e08abd6fd
0x8f2354f9464514efdae441314b8325e97bf96cdc,0x5e3f2abaecb51a182f05b4b7c0f7a5da1942de90
0xbfc190f10a2b3142812710e4a69b0cce8437666e,0x59f7199c0fbbd1b87be5ef8adc85c0f38c5ea54e
0x6f173ca50731a1426c3396c5c1fe2f40f923b766,0xc2d0d2f80255361c6dac8d9f75533967d26769fc
0x8f2354f9464514efdae441314b8325e97bf96cdc,0xd2835b08795adfefa0c2009b294ae84b08c6a67e
0xc7d021bd813f3b4bb801a4361fbcf3703ed61716,0x4e07c8fe34445997835d90b855bce52eb2244364
0x08b55c9d3ae64e31fd220e362c301497c1810dc9,0x37c31ee0006cc402e164731c9dc109f71789e39b
0x29548758476e43ee0d3519ea239bd6ad03ce8ef6,0x0f2faa1b9e28cabe6d68855f66266037d2b395ef
0xbfc190f10a2b3142812710e4a69b0cce8437666e,0xfc6cec1ff5bcc8b02ec93ef2d42781d5a30da71a
0x601b38482243bf0c0ef3f26abb7993f933de88e2,0x2f3055d09aaf4bf7009fe13cafe4b2c999c72166
0x92a62f8c4750d7fbdf9ee1db268d18169235117b,0xd006e90a4a1abfc560999ba2c3b0b70aa6b1b2f4
0x92a62f8c4750d7fbdf9ee1db268d18169235117b,0x7a472988bd094a09f045120e78bb0cea44558b52
0xcd0c825106cf3067090b644652dabf298c6889ee,0x873f9b4cebf1c25bc09f3fc30155fa33226bcd2f
0xcd0c825106cf3067090b644652dabf298c6889ee,0xea9a17fe1714304487a0741c93cf24a5415fe118
0xcd0c825106cf3067090b644652dabf298c6889ee,0x18df409534477d1ef29b2c2f0179e4419da4f113
0x1a1e390f83962d3f0b38edb6fcfad27866204090,0xf14079213737c3cf3baca55918e757a6f2cad357
0x3c13b172bf8be5b873eb38553fec50f78c826284,0x0ddf298fb7fd115fddb714eb722f8be5dc238c78
0xaf8984f39eb725c567123ee6a522e0a7206cc9ff,0xd1033ff38d25ff5ec05eec311c911490f8001f85
0x1813554dc1f68cf54f71449db298daf9ab75f4f3,0xb8cc8ef4998796cc940d3c6c64104f990e5620b5
0x111a9ca1ed4883cf0cce8cb43d3acf9372be98d9,0x468b94d7924f1e2a8eb7d7e5e9d8d6545cbdc062
0x7dc7103be6f1c93085772a566d0f7d9512ae6f79,0x4fdb8f5fa0a615d3b1cf45be12481b272012e0e1
0xdd6c5707dee472af3b53ab120d03d455e6cc95f9,0xaf5ea1e8390df64f2eb0fc2968199e811b87ee4f
0xeed247ba513a8d6f78be9318399f5ed1a4808f8e,0x87d06b55e122a0d0217d9a4f85e983ac3d7a1c35
0x822d5fd8aca011e3704d39958c5615d3a1e716cc,0xdd5ae6c8d84ecc97785ae9f9dc2277d1c1b30675
